nom_societe
LE LABOUREUR
LE MINOR BONNETERIE
LE TEXTILE INDÉMAILLABLE
LE VETEMENT DU FROID
LEBEURRE SAS
LEDERER
LEE COOPER FRANCE
LEISURE SHOES
LELABPLUS
LEMAHIEU
LENER CORDIER SA
LEOMIL FASHION
LEON & HARPER
LES ATELIERS GAUTHIER
LES CHAUSSURES DE LA BIEVRE
LES COMPLICES
LES FEES  DU BENGALE
LES NOUVEAUX TEXTILES
LES PASCALETTES
LES PETITES ROBES D'HONORE
LES STUDIOS DU CHATEAU
LETHU REGENCE
LICENCIA
LIGNE 2
LMK
LOISIRALP
LOLILOTA
LOU ANDREA
LOU'BEN GMBH & CO KG
Louise Misha
LOVELY PLANET
LUC KIEFFER
LUCIEN COLAS
LUMA / LECON DE CHOSE
LVFH
MADAME MONICA PIGLIACAMPO
MADE IN SENS
MAILLET  / SEDEM
Maison Catanzaro
MAISON GUILLEMETTE
MAISON MARTIN MARGIELA  / NEUF SAS
Maison Saint Julien
MARCEL BAUER SA
MARCOUX LAFAY
MARI'O
MARIKAREN
MARJOLAINE
MBARGO
MC COMPANY
MC CREATION
MC LIN
MCM INTERNATIONAL
MDC
MELTEX  / HARDFORD
MEXICANA
MGM 67
MICHEL
MICKAEL'S
MIKI MIALY
MILFRANCE
MILLESIA
MJS INTERNATIONAL SA
MKM LIMITED
MODETIC
MOLOKO
MOULINAGE DU SOLIER
MOUSQUETON
MOZER
MWD
MY WARD   /   BERNSON
MYTSUKO SAS GROUP
NATURAL RESSOURCE
NICOLE OLIVIER
NUMAE
OCCIDENTE
OLIVIER GUILLE & FILS
OLIVIER PHILIPS
OPHELIE HATS
OZEO
PALLADIUM
PAN
PARABOOT
PASQUALINI SARL
PAUL BRIAL / JBA
PAUL RHODAMEL
PB DEVELOPPEMENT
PELLESSIMO
PETIT PETON
PHILGO RACHETÉE PAR QUATTRO
PHILNESS
PHIREJO
PIERRE LAFAURIE
PL DIFFUSION
POIVRE BLANC  / S13
POREE-HAVLIK
PREMICE
PRODISO
PRODUXTYL DIFFUSION
PW SPORT SARL
PYNEIDE DISTRIBUTION
RAFCO INTERNATIONAL
RAPID'DEPANNAGE - COLAS
RB2A HUBLOT FRANCHISE AVIGNON
RECORD PRO
REFUNK
REGATTA
REM'SON
REMI CONFECTION
RENE DERHY IMPORT EXPORT
REPETTO
RIBB'S
RICOCHET
RIENALES
ROC SPORT
RODIER SAS
ROMIGUIER ARTISANAT SARL
ROSHANARA SARL
RT INTERNATIONAL/ HOTEL PARTICULIER
RUBENS
RUCKFIELD
RYWAN
S.A.M  /  GORGIO
SALON WHO'S NEXT
Sans Arcidet
SEDETEX
SERVISTYL
SEZANE  / BENDA BILI SAS
SHAN EUROPE
SHUTTLE
SIDAS SPORT
SIEL
SIPERCO
SIX ET SEPT
SIXSOEURS
SJBDP
SKIDRESS   /  19CEN48
SMART AND JOY
SNC INTERNATIONAL // COTERIA
SO SO BY NINI
SOCIETE DE GESTION DES MARQUES (SOGEMA)
SOCIETE TEXTILE LAFITTE
SODEP
SOGEMA
SOLIDUR
SOLUNE
SOMEWHERE
SOMOTEX
SORTEO STE K
SOULEIADO
SOWE COMPANY
SOYELLE
SPORT INTERNATIONAL DISTRIBUTION
STAR & WINGS
STEJER CHEFDEVILLE
STEWIL
STOULS
STYLE NETWORK INTERNATIONAL
SUNCOO GROUPE
SUNSET
SURFACE TO AIR
SURPRISE LTD
SVK
TANYA HEATH PARIS
TEAMEXPORT
TEE TEX
TEE.COM
TEXTILIA
TEXTILOT
THARITA
THE GROUP
THE KOOPLES PRODUCTION
TI FRANCE
TILT TEX  /  TERRE ROUGE
TISMAIL
TISSAGES CHARLIEU
TISSUS DES URSULES
TONIC SPORTS
TOP ROCK
TRADE & FACTORY  / LE MONT SAINT MICHEL
TRADEBOND MARKETING & DEVELOPMENT (TDM)
TRAITS
TREND
TREND AND SEE
TRICOTAGE TOULOUSAIN
TRICOTERIE DU VAL DE SAIRE
TRIDENT
TRIIAD
UNE HISTOIRE DE FEMME  BY XARA
UNIFORME SERVICE
UNIVERTEX
URBAHIA
VADF  S.A.S.
VEJA FAIR TRADE
VENT COUVERT
VENT DES MODES
VERTICAL     VOIR      RAIDLIGHT
WADERS
WAINBERG
WILGAL  SAS
WINSHIP
XXL PRANA
YA FEI T SARL
YESIM CHAMBREY
ZAPALLAR
ZEDDY'S
ZEN ETHIC
ZOE LA FEE
